id,name,year,chart_rank,de_rank,type,sex,,
AlexanderRethwisch,Alexander Rethwisch,,,,2,m,,
LukasHainer,Lukas Hainer,,,,2,m,,
StephanieStumph,Stephanie Stumph,,,,2,f,,
Was_du_Liebe_nennst_18,Was du Liebe nennst ,2018,3,1,1,,,
Bausa,Bausa,,,,2,m,,
Je_ne_parle_pas_francais_18,Je ne parle pas francais,2018,7,2,1,,,
Namika,Namika,,,,2,f,,
SeraFinale,Sera Finale,,,,2,m,,
PhilipBöllhoff,Philip Böllhoff (Beatgees),,,,2,m,,
SiphoSlilio,Sipho Slilio (Beatgees),,,,2,m,,
DavidVogt,David Vogt (Beatgees),,,,2,m,,
HannesBüscher,Hannes Büscher (Beatgees),,,,2,m,,
BlackM,Black M,,,,2,m,,
Magisch_18,Magisch,2018,11,3,1,,,
Olexesh,Olexesh,,,,2,m,,
Edin,Edin,,,,2,m,,
Neymar_18,Neymar,2018,15,4,1,,,
CapitalBra,Capital Bra,,,,2,m,,
Ufo361,Ufo361,,,,2,m,,
Label_TeamKuku,Team Kuku,,,,3,,,
500_PS_18,500 PS,2018,16,5,1,,,
Label_187Strassenbande,187 Strassenbande,,,,3,,,
Casanova_18,Casanova,2018,18,6,1,,,
Label_BangerMusik,Banger Musik,,,,3,,,
SummerCem,Summer Cem,,,,2,m,,
Melodien_18,Melodien,2018,24,7,1,,,
Juju,Juju,,,,2,f,,
Label_ersguterjunge,Ersguterjunge,,,,3,,,
One_Night_Stand_18,One Night Stand,2018,26,8,1,,,
Zusammen_18,Zusammen,2018,27,9,1,,,
Smudo,Smudo (Fanta 4),,,,2,m,,
ThomasD,Thomas D (Fanta 4),,,,2,m,,
MichiBeck,Michi Beck (Fanta 4),,,,2,m,,
AndYpsilon,And.Ypsilon (Fanta 4),,,,2,m,,
Clueso,Clueso,,,,2,m,,
DJThomilla,DJ Thomilla,,,,2,m,,
SamyDeluxe,Samy Deluxe,,,,2,m,,
Curse,Curse,,,,2,m,,
ConradHensel,Conrad Hensel,,,,2,m,,
DamionDavis,Damion Davis,,,,2,m,,
Ricco,Ricco (Hitnapperz),,,,2,m,,
BigToni,Big Toni (Hitnapperz),,,,2,m,,
Label_Columbia,Columbia ,,,,3,,,
Leiser_18,Leiser,2018,32,10,1,,,
AlexLys,Alex Lys,,,,2,m,,
Curly,Curly,,,,2,m,,
KraansdeLutin,Kraans de Lutin,,,,2,m,,
Wackelkontakt_25,Wackelkontakt,2025,1,1,1,,,
Oimara,Oimara,,,,2,m,,
AndreasFrei,Andreas Frei,,,,2,m,,
MatthiasRiegler,Matthias Riegler,,,,2,m,,
NiklasNubel,Niklas Nubel,,,,2,m,,
Label_Stereopol,Stereopol,,,,3,,,
Tau_mich_auf_25,Tau mich auf,2025,3,2,1,,,
Zartmann,Zartmann,,,,2,m,,
Cuffa,Cuffa,,,,2,m,,
Drumla,Drumla,,,,2,m,,
DaJu,DaJu,,,,2,m,,
Dauner,Dauner,,,,2,m,,
Label_BambooArtists,Bamboo Artists,,,,3,,,
Fata_Morgana_25,Fata Morgana,2025,12,3,1,,,
GhanaBeats,Ghana Beats,,,,2,m,,
Geenaro,Geenaro,,,,2,m,,
FloAugust,Flo August,,,,2,m,,
PaulKernbach,Paul Kernbach,,,,2,m,,
Vielleicht_vielleicht_25,Vielleicht vielleicht,2025,15,4,1,,,
Milleniumkid,MilleniumKid,,,,2,m,,
JanBennetSchemmer,Jan Bennet Schemmer,,,,2,m,,
Nasskalt,Nasskalt,,,,2,m,,
Sabia_que_no_25,Sabía que no,2025,16,5,1,,,
Reezy,Reezy,,,,2,m,,
Holidave,Holidave,,,,2,m,,
Label_TeenagerForever,Teenager Forever,,,,3,,,
Shababes_im_VIP_25,Shabab(e)s im VIP,2025,18,6,1,,,
Label_UrbanRecords,Urban Records,,,,3,,,
Pashanim,Pashanim,,,,2,m,,
Ceren,Ceren,,,,2,m,,
Speckmann,Speckmann,,,,2,m,,
Wunder_25,Wunder,2025,20,7,1,,,
Wie?_25,Wie?,2025,25,8,1,,,
Unsicher_25,Unsicher,2025,37,9,1,,,
Wenn_das_Liebe_ist_25,Wenn das Liebe ist,2025,41,10,1,,,
Layla_22,Layla,2022,1,1,1,,,
DJRobin,DJ Robin,,,,2,m,,
Schürze,Schürze,,,,2,m,,
ThomasWendt,Thomas Wendt,,,,2,m,,
DennisGeist,Dennis Geist,,,,2,m,,
DominikDeLeon,Dominik De Leon,,,,2,m,,
MatthiasDistel,Matthias Distel,,,,2,m,,
Label_SummerfieldRecords,Summerfield Records,,,,3,,,
Beautiful_Girl_22,Beautiful Girl,2022,3,2,1,,,
Luciano,Luciano,,,,2,m,,
Kingsize,Kingsize,,,,2,m,,
Sehnsucht_22,Sehnsucht,2022,8,3,1,,,
t-low,t-low,,,,2,m,,
Wildberry_Lillet_22,Wildberry Lillet,2022,10,4,1,,,
Nachts_wach_22,Nachts wach,2022,12,5,1,,,
Lee,Lee,,,,2,m,,
Truva,Truva,,,,2,m,,
MattMendo,Matt Mendo,,,,2,m,,
Powerade_22,Powerade,2022,15,6,1,,,
IonMiles,Ion Miles,,,,2,m,,
BHZ,BHZ,,,,2,m,,
Label_SonyMusic,Sony Music,,,,3,,,
Auf_und_Ab_22,Auf und Ab,2022,19,7,1,,,
Ohne_Benzin_22,Ohne Benzin,2022,22,8,1,,,
Domiziana,Domiziana,,,,2,f,,
JanPaulOlthoff,Jan Paul Olthoff,,,,2,m,,
ReplayOkay,Replay Okay,,,,2,m,,
Paradise_22,Paradise (mit dir),2022,28,9,1,,,
Liaze,Liaze,,,,2,m,,
JustinGrinberg,Justin Grinberg,,,,2,m,,
